               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,             0.02465,            0.038112,                   0,             0.96859,                   1,             0.98261,              0.7784,            0.015048,            0.026597,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.024426,            0.038835,                   0,             0.96859,                   1,             0.98261,              0.7784,            0.015048,            0.026597,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.022282,            0.043215,                   0,             0.97567,                   1,             0.98304,             0.83534,            0.010847,            0.025779,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.020454,            0.035668,                   0,             0.97567,                   1,             0.98304,             0.83534,            0.010847,            0.025779,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.021083,            0.033157,                   0,             0.96544,                   1,             0.98891,             0.81859,            0.015377,            0.025685,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.021191,            0.038529,                   0,             0.96544,                   1,             0.98891,             0.81859,            0.015377,            0.025685,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.022787,            0.037461,                   0,             0.95531,                   1,             0.99261,             0.81049,            0.019247,            0.027609,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.025125,            0.038351,                   0,             0.95531,                   1,             0.99261,             0.81049,            0.019247,            0.027609,                   0,             0.00307,             0.00307,             0.00307
                 142,             0.02652,            0.040541,                   0,             0.95531,                   1,             0.99261,             0.81049,            0.019247,            0.027609,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.025603,            0.043268,                   0,             0.95386,                   1,             0.99326,             0.82276,            0.018941,             0.02707,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.024835,            0.043637,                   0,             0.95386,                   1,             0.99326,             0.82276,            0.018941,             0.02707,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.021892,            0.040337,                   0,             0.97586,                   1,              0.9937,             0.87785,           0.0099402,             0.02229,                   0,            0.002872,            0.002872,            0.002872
